,BCEnoPOS,BCECalcPOS,BCE4POS,DiceLoss,FocalLoss,TverskyLossBase,TverskyLoss25,TverskyLoss75,FocalTverskyLossBase,FocalTverskyLoss25,FocalTverskyLoss75,LogCoshDice
0,0.48750410009832945,0.7272409025360557,0.6736523403840906,0.7409201474750743,0.12758479398839614,0.7320195646846995,0.5773828029632568,0.7897060934235068,0.6600111547638389,0.5296132774914012,0.7394587117082932,0.2511110156774521
1,0.3044153294142555,0.5444198864347795,0.4768737484427059,0.6656783538706162,0.05409983282580095,0.6488043700947481,0.4750187642434064,0.7138577910030589,0.5538090765476227,0.43629805480732636,0.6551176765385796,0.20136764031999252
2,0.23995819337227764,0.47519637381329255,0.40648334341890674,0.6024304593310637,0.03965146708137849,0.5812639909632066,0.41601524282904234,0.6491449615534615,0.4747781753540039,0.3821748179547927,0.5832169757169836,0.15917148660211003
3,0.1978675959741368,0.4358564615249634,0.35252806368996115,0.5307416670462665,0.03144357638324008,0.5066729713888729,0.3683323860168457,0.5707155255710378,0.3987617843291339,0.33170486548367667,0.5039007050149581,0.12185963681515526
4,0.17169517366325154,0.3952869562541737,0.3163359919015099,0.45948261723798867,0.02548561683472465,0.4394589767736547,0.3241713292458478,0.48925071954727173,0.3258459234938902,0.2847528107026044,0.42084505452829246,0.09254379701964996
5,0.15286192736204932,0.37375200145384846,0.29074254281380596,0.400302669581245,0.02112520409419256,0.3867875547970043,0.2922246526269352,0.4142131630112143,0.2748313966919394,0.2440108893548741,0.34114248086424437,0.07232765765751109
6,0.13809426567133734,0.3601836895241457,0.27385248331462636,0.3595374892739689,0.018162218963398653,0.3410151109975927,0.2700781962450813,0.3517962378614089,0.24059180389432347,0.21162426822325764,0.27948173968230977,0.05885253057760351
7,0.12784070039496703,0.3422793132417342,0.26402072520817027,0.3223765913177939,0.016045622144113567,0.3099646112498115,0.25217140422147866,0.3072101964670069,0.2162793103386374,0.19338469207286835,0.22936998483012705,0.05071472376585007
8,0.11917265460771673,0.33328764403567596,0.24858487528913162,0.2957806622280794,0.013730101616067044,0.2867528936442207,0.2435104531400344,0.2736342374016257,0.19241020697004654,0.17336870203999913,0.19753331033622518,0.04529746380798957
9,0.11348154220510931,0.33402679071706887,0.24620907271609588,0.27377106512294097,0.012809970854398082,0.27272360465105844,0.23297775843564203,0.2545808238141677,0.18112372475511887,0.1588754373438218,0.17816048597588258,0.0387931932859561
