,Model,train loss,val loss,val accuracy,val sensitivity
0,DenseNet_0_2_clahe,1.5428212811476993,1.4578258037567138,43.054816391697706,0.3708248291407713
1,DenseNet_0_2_clahe,1.4401691751758547,1.381367576122284,33.36881319850985,0.3965185780267063
2,DenseNet_0_2_clahe,1.4012806580884614,1.3386186281840007,40.23416711016498,0.3888724095568005
3,DenseNet_0_2_clahe,1.3813861564998209,1.3392597913742066,28.791910590739754,0.40264654908708003
4,DenseNet_0_2_clahe,1.3558800359712029,1.36639746427536,40.8728046833422,0.37996655375602933
5,DenseNet_0_2_clahe,1.3412039758515184,1.3468543489774067,28.579031399680684,0.3618157760063472
6,DenseNet_0_2_clahe,1.3256796528823185,1.303376348813375,23.842469398616284,0.39617173087945673
7,DenseNet_0_2_clahe,1.317635152461755,1.3318898677825928,36.668440659925494,0.39335386459265387
8,DenseNet_0_2_clahe,1.307742341591494,1.3001619656880696,37.41351782863225,0.3931669115173247
9,DenseNet_0_2_clahe,1.3011155989918395,1.3395656903584798,35.657264502394895,0.39443884477288516
10,DenseNet_0_2_clahe,1.300612001088414,1.3101386666297912,26.92921766897286,0.3589884942230961
11,DenseNet_0_2_clahe,1.2949991735228656,1.326273016134898,30.65460351250665,0.3957944077433722
12,DenseNet_0_2_clahe,1.2940587675484427,1.3174587527910868,33.52847259180415,0.3853605704926121
13,DenseNet_0_2_clahe,1.2778724854009864,1.2909161766370139,28.36615220862161,0.41828278325200874
14,DenseNet_0_2_clahe,1.2785718293085586,1.2932221055030824,37.307078233102715,0.4000645781782253
15,DenseNet_0_2_clahe,1.2722654982204855,1.2991356094678244,35.391165513571046,0.3627681288540753
16,DenseNet_0_2_clahe,1.2727802635109338,1.310697042942047,45.50292708887706,0.41175172712862806
17,DenseNet_0_2_clahe,1.2726453477448791,1.282669687271118,37.51995742416179,0.4532025313126892
18,DenseNet_0_2_clahe,1.2728029163214412,1.280867373943329,46.99308142629058,0.4582348231560315
19,DenseNet_0_2_clahe,1.2556023997982053,1.323367460568746,40.60670569451836,0.4054873750099696
20,DenseNet_0_2_clahe,1.2716279404006736,1.3050970276196798,40.447046301224056,0.44189435778190733
21,DenseNet_0_2_clahe,1.268619983735746,1.3215931415557862,36.45556146886642,0.3390401450121019
22,DenseNet_0_2_clahe,1.2552504256693986,1.3222751140594482,28.845130388504526,0.36769459834117496
23,DenseNet_0_2_clahe,1.2567907919848922,1.3132036089897157,40.34060670569452,0.425071058179567
24,DenseNet_0_2_clahe,1.262139580110564,1.3412284950415294,33.74135178286323,0.3911905255008515
25,DenseNet_0_2_clahe,1.2721919021467223,1.3509629329045614,26.55667908461948,0.3742388755817846
26,DenseNet_0_2_clahe,1.2560460141105374,1.282684044043223,35.23150612027675,0.41239120442341687
27,DenseNet_0_2_clahe,1.245218645917238,1.2997706989447275,42.57583821181479,0.4235778026695784
28,DenseNet_0_2_clahe,1.2505058502628856,1.3397871414820353,36.40234167110165,0.39979239457634497
29,DenseNet_0_2_clahe,1.2459173794210392,1.307490748167038,42.948376796168176,0.404526031949394
0,DenseNet_1_2_clahe,1.5463665306133076,1.4347943345705667,26.397019691325173,0.35181979792973833
1,DenseNet_1_2_clahe,1.4338761541965235,1.3764415502548217,48.323576370409796,0.37883556757373565
2,DenseNet_1_2_clahe,1.4049494414433945,1.3670121630032857,33.422032996274616,0.4192456642701489
3,DenseNet_1_2_clahe,1.3737126145049603,1.3069871147473653,26.290580095795633,0.39149275756636004
4,DenseNet_1_2_clahe,1.3508717108816997,1.3171471158663433,35.125066524747204,0.41864479652844294
5,DenseNet_1_2_clahe,1.3416502649766686,1.280756958325704,38.63757317722193,0.41159966264724607
6,DenseNet_1_2_clahe,1.337942887396708,1.2786974291006723,45.55614688664183,0.42831464213279796
7,DenseNet_1_2_clahe,1.3360018782372023,1.2839937488238016,38.158594997339016,0.42486273254416085
8,DenseNet_1_2_clahe,1.3167703343133856,1.3444642146428427,40.12772751463544,0.3825057947777075
9,DenseNet_1_2_clahe,1.3116710151199007,1.320473309357961,32.67695582756785,0.35950517040231855
10,DenseNet_1_2_clahe,1.2977193402547906,1.2812416354815166,44.97072911122938,0.41523586080481706
11,DenseNet_1_2_clahe,1.2995487425449121,1.2919141133626302,32.35763704097924,0.3971820240326356
12,DenseNet_1_2_clahe,1.2943083348065396,1.2871633231639863,35.071846726982436,0.40154481000487957
13,DenseNet_1_2_clahe,1.290033484462404,1.255533657471339,37.46673762639702,0.39652920295911526
14,DenseNet_1_2_clahe,1.2892039888096551,1.2561720291773477,41.03246407663651,0.4246725145566047
15,DenseNet_1_2_clahe,1.2880474659648256,1.2992058118184409,37.626397019691325,0.41762473408540096
16,DenseNet_1_2_clahe,1.276391238191702,1.281743844350179,41.29856306546035,0.4460083774144088
17,DenseNet_1_2_clahe,1.2705448008801816,1.2754044234752655,39.54230973922299,0.4295256932275337
18,DenseNet_1_2_clahe,1.261772770951264,1.3068676511446635,34.433209153805215,0.3736381392129508
19,DenseNet_1_2_clahe,1.2743948828564944,1.2578680952390036,40.819584885577434,0.4372129508795852
20,DenseNet_1_2_clahe,1.2689545754968685,1.299664068222046,46.88664183076104,0.4036211532153621
21,DenseNet_1_2_clahe,1.263282777619188,1.2788329680760702,28.046833422032996,0.3906655994475813
22,DenseNet_1_2_clahe,1.2521795630455017,1.2741334637006123,36.77488025545503,0.3862270462905671
23,DenseNet_1_2_clahe,1.2527595919414158,1.3111641188462575,37.51995742416179,0.36976645908911643
