,binary/BCEnoPOS,binary/BCECalcPOS,binary/BCE4POS,binary/DiceLoss,binary/FocalLoss,binary/TverskyLossBase,binary/TverskyLoss25,binary/TverskyLoss75,binary/FocalTverskyLoss,binary/LogCoshDice
0,0.43432095977995133,0.8530633482668135,0.4915752775139279,0.8484856420093112,0.0811358837203847,0.8575316237078773,0.8871861166424222,0.7642942070960999,0.891068696975708,0.3168744362062878
1,0.2754542769657241,0.6349728968408372,0.35444904532697463,0.8009525338808695,0.038366462828384504,0.8148263759083219,0.8453662527932061,0.7061016162236532,0.8534196184741126,0.27867700159549713
2,0.21882585518889958,0.584439229634073,0.3012533022297753,0.7428170078330569,0.027065885356730886,0.7712261577447256,0.7975604236125946,0.6430269479751587,0.8156522115071615,0.23714442799488702
3,0.1802388545539644,0.5232105039887958,0.25748346663183636,0.6608344945642683,0.02120663608527846,0.6971177425649431,0.7278859284189012,0.5704698794417911,0.7616708676020304,0.18729045821560752
4,0.15312259809838402,0.5191501395569907,0.23446470581822926,0.5681888626681434,0.016914222337719467,0.6064712736341689,0.6435068216588762,0.488241712252299,0.691429979271359,0.1444305173224873
5,0.13253232712546983,0.5012359768152237,0.2124195239610142,0.48275773061646354,0.01282714084825582,0.5086059636539884,0.5151728789011637,0.4177125295003255,0.6127842234240638,0.10619235907991727
6,0.12015783497028881,0.5150668803188536,0.2006595970855819,0.4244910445478227,0.010699937508131066,0.42014192210303414,0.4094949033525255,0.3774140278498332,0.5376721604002846,0.08252594764861795
7,0.11393579343954723,0.4696014059914483,0.1974165365099907,0.3696635431713528,0.008873626486294799,0.3646467626094818,0.3433723913298713,0.3370219137933519,0.48275895251168144,0.06749506025678581
8,0.10346741643216875,0.4394329968425963,0.18352656811475754,0.3358979390727149,0.007695734656105439,0.33568506439526874,0.2884538604153527,0.3022291858990987,0.47535014318095314,0.05848493157989449
9,0.09757557056016392,0.41381507615248364,0.17970654368400574,0.3132947352197435,0.00869917137444847,0.2993263469802009,0.2622690267033047,0.28066979845364887,0.458671424123976,0.05354427836007542
10,0.09209365935789214,0.40853100683954024,0.17891034690870178,0.31089533037609524,0.006861781533290114,0.2748485373126136,0.26372836695777047,0.26519832346174455,0.42901987830797833,0.05297046589354674
11,0.09120327482620876,0.4040275514125824,0.173910324772199,0.28931014405356514,0.006649112445302308,0.265557865301768,0.28088172607951695,0.2515552540620168,0.4018242624070909,0.04704816577335199
12,0.08765610431631406,0.38426100379890865,0.16981506968537965,0.2764086392190721,0.006072881204696993,0.24964694844351876,0.24639126658439636,0.2369678947660658,0.38964873883459306,0.04254253167245123
13,0.08368071127269003,0.3679370664887958,0.18374747203456032,0.27808571855227154,0.005238544286435677,0.25112779604064095,0.23358661929766336,0.23236495587560865,0.3856021331416236,0.040958351352148585
14,0.08173555197815101,0.39426262345578933,0.1689784535103374,0.26215989059872097,0.005070463637821376,0.25285489360491437,0.21963621179262796,0.22700485587120056,0.3786368734306759,0.0415049349475238
