,CEL,CELCalcWeights,CELCustWeights,DiceLoss,FocalLoss,TverskyLossBase,TverskyLoss25,TverskyLoss75,FocalTverskyLossBase,FocalTverskyLoss25,FocalTverskyLoss75,LogCoshDice
0,1.2511641846762762,1.360100030899048,1.0428877042399511,0.8632424374421438,0.5802713731924692,0.876044899225235,0.8540163603093889,0.862684064441257,0.8255736728509268,0.8212666246626112,0.7972341312302483,0.3314730508459939
1,0.7349696556727091,1.0864115158716838,0.6513769610060586,0.7991805606418185,0.2650461031330956,0.8254264659351773,0.7823449273904165,0.8200484845373366,0.743203318781323,0.7484183841281467,0.7317090696758695,0.2923730214436849
2,0.470880486898952,1.0321513215700786,0.4877047108279334,0.7476881841818491,0.1479363205532232,0.7814366751246982,0.7336413926548428,0.789163308011161,0.6809527178605398,0.6921433243486617,0.6812478833728366,0.2626788723799917
3,0.3204749392138587,0.9799221522278256,0.3952795051866107,0.6990461382600996,0.0902547192656331,0.7440929048591189,0.6785420940981971,0.7584629356861115,0.6167458759413825,0.6319663855764601,0.6421674291292826,0.2368004264103042
4,0.2452443639437357,0.9128554628954992,0.3406563252210617,0.6488575107521481,0.0634968667808506,0.714788493182924,0.6241649058130052,0.7358735369311439,0.5635191384289,0.5810501641697354,0.6082027852535248,0.2154919182260831
5,0.2079119682312011,0.869621475537618,0.3068034549554189,0.6019636028342776,0.0487214310301674,0.6852342420154147,0.5781880882051256,0.7084101769659255,0.5455271734131707,0.5298317505253686,0.5611388087272644,0.1859984530342949
6,0.1849464459551705,0.8390571143892076,0.2841884899470541,0.5652238759729598,0.0386210896281732,0.6485780345069038,0.5408817165427737,0.6924609541893005,0.4976815117730034,0.4852341446611616,0.5249999711910883,0.1628978244132465
7,0.1694181478685802,0.8019518752892812,0.2636448981033431,0.5376062194506327,0.0309283831674191,0.6091605987813737,0.5215462545553843,0.6661497486962212,0.472635676463445,0.4465735057989756,0.4774712787734138,0.1443007397982809
8,0.1555945099227958,0.8116594552993774,0.2497023070851961,0.5200066566467285,0.0276961783981985,0.5751766827371385,0.5009829998016357,0.6459451185332404,0.4522650771670871,0.4238631758424971,0.4413522034883499,0.1361033390793535
9,0.1474363013274139,0.7933396332793765,0.2392030283808708,0.5016664299699995,0.0238533386857145,0.5596566928757561,0.4800682034757402,0.6393154892656538,0.4421707540750503,0.4001043654150433,0.4200196531083848,0.1292509726352161
10,0.1403767292698224,0.7959164612823062,0.2340194069676929,0.4878286686208513,0.0203023759855164,0.5442728598912557,0.4662251737382676,0.6339505314826965,0.4216893017292022,0.3894897053639094,0.3984485881196128,0.1211537909176614
