,model,dice coefficient,jaccard index
0,DiceLoss_best,0.6597552257192519,0.5461796591006262
1,DiceLoss_last,0.6597552257192519,0.5461796591006262
2,TverskyLoss25_best,0.6315862814862693,0.5195503579917639
3,TverskyLoss25_last,0.6422379718413952,0.5265591114172744
4,FocalTverskyLoss25_best,0.6440714688740087,0.5305957821922224
5,FocalTverskyLoss25_last,0.6440714688740087,0.5305957821922224
6,LogCoshDice_best,0.6506494015366489,0.5401831612731364
7,LogCoshDice_last,0.6538636114047373,0.542498996402759
